(1, 'Cougar', '1990', 'Purple', '$196813.82')
(488, 'LS Hybrid', '2010', 'Crimson', '$76908.38')
(489, 'Suburban 1500', '2007', 'Green', '$112774.06')
(490, 'LR3', '2005', 'Maroon', '$78345.56')
(491, 'Torrent', '2009', 'Puce', '$105209.97')
(492, 'A6', '2005', 'Pink', '$169544.71')
(493, 'G-Series G20', '1994', 'Blue', '$142229.17')
(494, 'Neon', '2000', 'Crimson', '$178892.33')
(495, 'Tribeca', '2009', 'Mauv', '$88788.13')
(496, '9-7X', '2009', 'Fuscia', '$110397.07')
(497, 'Corsica', '1996', 'Fuscia', '$10458.53')
(498, 'Grand Caravan', '2010', 'Aquamarine', '$177152.47')
(499, 'Discovery', '2008', 'Purple', '$47947.08')
(500, '4000s', '1986', 'Orange', '$24429.96')
